,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Economies and Consumers Annual Data | Historical,,,,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,2016,2017,2018,2019,2020,2021
Latvia,Foreign Direct Investment Inflows,Socio-economic indicators,EUR million,Current Prices,230.2,628.5,819.4,781.0,783.5,-
Lithuania,Foreign Direct Investment Inflows,Socio-economic indicators,EUR million,Current Prices,273.6,905.7,827.4,"1,044.7",429.8,-
Moldova,Foreign Direct Investment Inflows,Socio-economic indicators,MDL million,Current Prices,"1,677.2","2,804.3","4,907.4","8,922.3","1,011.8",-
Montenegro,Foreign Direct Investment Inflows,Socio-economic indicators,EUR million,Current Prices,204.7,495.6,414.9,372.6,474.9,-
North Macedonia,Foreign Direct Investment Inflows,Socio-economic indicators,MKD million,Current Prices,"20,858.4","11,229.9","37,788.2","24,528.5","15,173.8",-
Poland,Foreign Direct Investment Inflows,Socio-economic indicators,PLN million,Current Prices,"61,886.7","34,652.1","57,759.2","41,669.3","39,510.4",-
Romania,Foreign Direct Investment Inflows,Socio-economic indicators,RON million,Current Prices,"20,297.5","21,962.3","24,512.6","24,542.0","9,965.8",-
Russia,Foreign Direct Investment Inflows,Socio-economic indicators,RUB million,Current Prices,"2,495,531.8","1,513,231.8","829,401.2","2,074,268.9","697,066.7",-
Serbia,Foreign Direct Investment Inflows,Socio-economic indicators,RSD million,Current Prices,"261,727.3","310,161.4","409,766.7","449,395.9","365,107.0",-
Slovakia,Foreign Direct Investment Inflows,Socio-economic indicators,EUR million,Current Prices,728.6,"3,564.1","1,419.1","2,187.4","-1,732.7",-
Slovenia,Foreign Direct Investment Inflows,Socio-economic indicators,EUR million,Current Prices,"1,126.4",796.6,"1,172.6","1,095.7",475.1,-
Ukraine,Foreign Direct Investment Inflows,Socio-economic indicators,UAH million,Current Prices,"97,384.4","98,194.7","121,177.4","151,406.6","-23,043.8",-
Anguilla,Foreign Direct Investment Inflows,Socio-economic indicators,XCD million,Current Prices,162.7,144.5,150.6,337.7,71.0,-
Antigua and Barbuda,Foreign Direct Investment Inflows,Socio-economic indicators,XCD million,Current Prices,217.7,304.9,314.5,376.6,60.4,-
Argentina,Foreign Direct Investment Inflows,Socio-economic indicators,ARS million,Current Prices,"48,185.2","190,719.6","333,774.9","321,544.8","315,577.0",-
Aruba,Foreign Direct Investment Inflows,Socio-economic indicators,AWG million,Current Prices,49.3,157.3,197.2,-238.6,203.5,-
Bahamas,Foreign Direct Investment Inflows,Socio-economic indicators,BSD million,Current Prices,"1,259.5",901.4,947.4,611.0,896.8,-
Barbados,Foreign Direct Investment Inflows,Socio-economic indicators,BBD million,Current Prices,538.7,412.3,483.2,430.7,524.2,-
Belize,Foreign Direct Investment Inflows,Socio-economic indicators,BZD million,Current Prices,88.0,49.0,236.6,187.8,152.4,-
Bermuda,Foreign Direct Investment Inflows,Socio-economic indicators,BMD million,Current Prices,82.0,-288.1,95.4,4.4,114.3,-
Bolivia,Foreign Direct Investment Inflows,Socio-economic indicators,BOB million,Current Prices,"2,317.4","4,923.2","2,089.4","-1,497.0","-7,242.0",-
Brazil,Foreign Direct Investment Inflows,Socio-economic indicators,BRL million,Current Prices,"187,511.3","212,365.1","218,481.3","257,867.1","124,434.8",-
British Virgin Islands,Foreign Direct Investment Inflows,Socio-economic indicators,USD million,Current Prices,"49,022.9","39,610.0","34,389.7","39,103.4","39,619.6",-
Cayman Islands,Foreign Direct Investment Inflows,Socio-economic indicators,KYD million,Current Prices,"47,052.5","12,138.7","16,544.6","22,532.1","18,896.8",-
Chile,Foreign Direct Investment Inflows,Socio-economic indicators,CLP million,Current Prices,"8,169,928.6","4,024,751.4","4,965,070.4","8,804,066.3","6,900,569.5",-
Colombia,Foreign Direct Investment Inflows,Socio-economic indicators,COP million,Current Prices,"42,293,476.9","40,831,260.3","34,094,399.6","46,960,480.3","28,547,420.9",-
Costa Rica,Foreign Direct Investment Inflows,Socio-economic indicators,CRC million,Current Prices,"1,200,577.4","1,576,891.6","1,348,253.8","1,614,067.7","985,409.3",-
Curacao,Foreign Direct Investment Inflows,Socio-economic indicators,ANG million,Current Prices,238.2,309.1,227.1,100.1,293.9,-
Dominica,Foreign Direct Investment Inflows,Socio-economic indicators,XCD million,Current Prices,111.1,-5.7,-100.4,87.9,68.1,-
Dominican Republic,Foreign Direct Investment Inflows,Socio-economic indicators,DOP million,Current Prices,"110,757.2","169,553.8","125,415.7","154,804.7","138,828.6",-
Ecuador,Foreign Direct Investment Inflows,Socio-economic indicators,USD million,Current Prices,756.0,624.5,"1,388.2",961.5,"1,016.9",-
El Salvador,Foreign Direct Investment Inflows,Socio-economic indicators,USD million,Current Prices,347.4,889.1,826.0,636.2,200.5,-
French Guiana,Foreign Direct Investment Inflows,Socio-economic indicators,EUR million,Current Prices,,,,,,-
Grenada,Foreign Direct Investment Inflows,Socio-economic indicators,XCD million,Current Prices,256.2,301.5,342.9,353.8,394.5,-
Guatemala,Foreign Direct Investment Inflows,Socio-economic indicators,GTQ million,Current Prices,"8,928.0","8,306.9","7,372.8","7,503.9","7,082.4",-
Guyana,Foreign Direct Investment Inflows,Socio-economic indicators,GYD million,Current Prices,"11,976.8","43,809.3","255,711.7","352,495.6","383,557.3",-
Haiti,Foreign Direct Investment Inflows,Socio-economic indicators,HTG million,Current Prices,"6,643.9","24,279.6","7,143.3","6,576.5","3,157.7",-
Honduras,Foreign Direct Investment Inflows,Socio-economic indicators,HNL million,Current Prices,"26,200.4","27,809.4","23,138.5","12,293.2","10,553.1",-
Jamaica,Foreign Direct Investment Inflows,Socio-economic indicators,JMD million,Current Prices,"114,559.1","113,637.6","99,836.8","86,903.4","48,833.3",-
Martinique,Foreign Direct Investment Inflows,Socio-economic indicators,EUR million,Current Prices,-,-,-,-,-,-
Mexico,Foreign Direct Investment Inflows,Socio-economic indicators,MXN million,Current Prices,"580,714.2","645,256.7","649,257.8","656,564.4","648,461.0",-
Nicaragua,Foreign Direct Investment Inflows,Socio-economic indicators,NIO million,Current Prices,"28,309.0","31,114.7","26,429.0","16,668.6","6,343.5",-
Panama,Foreign Direct Investment Inflows,Socio-economic indicators,PAB million,Current Prices,"4,745.4","4,176.6","5,080.4","4,320.4",588.7,-
Paraguay,Foreign Direct Investment Inflows,Socio-economic indicators,PYG million,Current Prices,"2,411,911.7","3,237,524.8","2,622,292.0","3,259,755.3","3,707,484.1",-
Peru,Foreign Direct Investment Inflows,Socio-economic indicators,PEN million,Current Prices,"22,744.7","22,368.6","22,897.8","26,878.1","3,398.0",-
Sint Maarten,Foreign Direct Investment Inflows,Socio-economic indicators,ANG million,Current Prices,97.9,115.0,-352.0,105.5,45.3,-
St Kitts and Nevis,Foreign Direct Investment Inflows,Socio-economic indicators,XCD million,Current Prices,253.2,137.5,229.1,249.1,127.1,-
St Lucia,Foreign Direct Investment Inflows,Socio-economic indicators,XCD million,Current Prices,349.2,353.8,364.9,82.7,40.3,-
St Vincent and the Grenadines,Foreign Direct Investment Inflows,Socio-economic indicators,XCD million,Current Prices,413.3,265.0,271.3,305.3,196.8,-
Suriname,Foreign Direct Investment Inflows,Socio-economic indicators,SRD million,Current Prices,"1,868.5",735.3,889.5,-147.2,-209.6,-
Trinidad and Tobago,Foreign Direct Investment Inflows,Socio-economic indicators,TTD million,Current Prices,-157.4,"-3,192.5","-4,740.7","1,245.7","-2,970.5",-
Uruguay,Foreign Direct Investment Inflows,Socio-economic indicators,UYU million,Current Prices,"-54,976.3","-17,213.2","5,019.3","64,740.5","111,328.2",-
Venezuela,Foreign Direct Investment Inflows,Socio-economic indicators,VES million,Current Prices,5.0,-9.4,"43,007.9","12,625,390.0","1,293,951,552.7",-
Algeria,Foreign Direct Investment Inflows,Socio-economic indicators,DZD million,Current Prices,"179,101.8","136,778.1","170,970.8","164,938.2","142,792.2",-
Angola,Foreign Direct Investment Inflows,Socio-economic indicators,AOA million,Current Prices,"-29,379.2","-1,227,329.3","-1,632,456.0","-1,495,228.9","-1,010,460.1",-
Bahrain,Foreign Direct Investment Inflows,Socio-economic indicators,BHD million,Current Prices,91.5,536.3,622.1,564.6,378.6,-
Benin,Foreign Direct Investment Inflows,Socio-economic indicators,XOF million,Current Prices,"78,161.5","116,953.7","107,867.4","127,884.7","103,598.6",-
Botswana,Foreign Direct Investment Inflows,Socio-economic indicators,BWP million,Current Prices,"1,553.7","2,696.3","2,916.7","1,002.7",905.8,-
Burkina Faso,Foreign Direct Investment Inflows,Socio-economic indicators,XOF million,Current Prices,"231,667.4","1,497.7","149,186.7","95,511.2","87,511.8",-
Burundi,Foreign Direct Investment Inflows,Socio-economic indicators,BIF million,Current Prices,91.8,547.2,"1,753.9","1,957.8","11,929.7",-
Cabo Verde,Foreign Direct Investment Inflows,Socio-economic indicators,CVE million,Current Prices,"12,435.1","10,847.1","10,257.8","10,494.5","7,243.7",-
Cameroon,Foreign Direct Investment Inflows,Socio-economic indicators,XAF million,Current Prices,"393,365.1","473,784.6","423,195.6","601,717.6","287,553.0",-
Central African Republic,Foreign Direct Investment Inflows,Socio-economic indicators,XAF million,Current Prices,"4,303.4","4,010.2","10,006.5","15,004.0","20,469.0",-
Chad,Foreign Direct Investment Inflows,Socio-economic indicators,XAF million,Current Prices,"145,114.4","211,539.4","256,165.8","332,089.0","328,527.8",-
Comoros,Foreign Direct Investment Inflows,Socio-economic indicators,KMF million,Current Prices,"1,587.5","1,710.9","2,364.0","1,616.0","3,779.1",-
"Congo, Democratic Republic",Foreign Direct Investment Inflows,Socio-economic indicators,CDF million,Current Prices,"1,217,120.4","1,962,618.9","2,623,287.7","2,508,636.7","2,870,973.4",-
Congo-Brazzaville,Foreign Direct Investment Inflows,Socio-economic indicators,XAF million,Current Prices,"955,807.3","2,571,290.6","2,398,443.2","1,972,754.9","2,365,486.2",-
Côte d'Ivoire,Foreign Direct Investment Inflows,Socio-economic indicators,XOF million,Current Prices,"342,449.9","567,501.2","344,719.8","548,261.3","299,510.1",-
Djibouti,Foreign Direct Investment Inflows,Socio-economic indicators,DJF million,Current Prices,"28,435.0","29,324.0","30,213.0","39,454.1","42,653.0",-
Egypt,Foreign Direct Investment Inflows,Socio-economic indicators,EGP million,Current Prices,"81,022.1","132,058.5","145,058.5","151,523.0","95,088.4",-
Equatorial Guinea,Foreign Direct Investment Inflows,Socio-economic indicators,XAF million,Current Prices,"32,025.2","177,452.5","220,142.5","265,071.0","312,152.6",-
Eritrea,Foreign Direct Investment Inflows,Socio-economic indicators,ERN million,Current Prices,804.2,852.8,938.1,"1,031.9","1,135.1",-
Eswatini,Foreign Direct Investment Inflows,Socio-economic indicators,SZL million,Current Prices,314.6,-746.8,483.0,"1,881.8",677.0,-
Ethiopia,Foreign Direct Investment Inflows,Socio-economic indicators,ETB million,Current Prices,"90,032.4","96,110.6","91,459.3","74,627.0","78,593.6",-
Gabon,Foreign Direct Investment Inflows,Socio-economic indicators,XAF million,Current Prices,"737,581.3","764,950.6","766,496.1","910,243.9","1,011,169.8",-
Gambia,Foreign Direct Investment Inflows,Socio-economic indicators,GMD million,Current Prices,"-1,215.6",859.7,"2,501.0","2,209.6","2,388.1",-
Ghana,Foreign Direct Investment Inflows,Socio-economic indicators,GHS million,Current Prices,"13,626.8","14,161.3","13,711.0","20,238.2","10,607.0",-
Guinea,Foreign Direct Investment Inflows,Socio-economic indicators,GNF million,Current Prices,"14,500,828.0","5,249,322.5","3,178,767.7","417,798.9","3,196,288.6",-
Guinea-Bissau,Foreign Direct Investment Inflows,Socio-economic indicators,XOF million,Current Prices,"14,232.9","9,134.5","11,429.5","41,996.9","12,023.4",-
Iran,Foreign Direct Investment Inflows,Socio-economic indicators,IRR million,Current Prices,"104,250,422.1","166,785,583.9","96,971,052.7","63,336,000.0","64,386,506.1",-
Iraq,Foreign Direct Investment Inflows,Socio-economic indicators,IQD million,Current Prices,"-7,394,473.8","-5,957,522.9","-5,777,852.0","-3,635,359.2","-3,422,481.0",-
Israel,Foreign Direct Investment Inflows,Socio-economic indicators,ILS million,Current Prices,"46,041.3","60,812.0","77,336.3","67,893.8","86,787.4",-
Jordan,Foreign Direct Investment Inflows,Socio-economic indicators,JOD million,Current Prices,"1,101.0","1,439.1",677.0,517.4,514.8,-
Kenya,Foreign Direct Investment Inflows,Socio-economic indicators,KES million,Current Prices,"115,574.6","145,210.7","115,427.2","112,024.8","74,637.5",-
Kuwait,Foreign Direct Investment Inflows,Socio-economic indicators,KWD million,Current Prices,126.5,106.0,61.6,31.7,-97.5,-
Lebanon,Foreign Direct Investment Inflows,Socio-economic indicators,LBP million,Current Prices,"3,871,991.2","3,802,532.6","4,006,940.8","3,097,278.7","4,623,571.2",-
Lesotho,Foreign Direct Investment Inflows,Socio-economic indicators,LSL million,Current Prices,"2,341.8","1,641.3","1,704.1","1,699.4","1,687.7",-
Liberia,Foreign Direct Investment Inflows,Socio-economic indicators,LRD million,Current Prices,"39,879.8","26,023.2","18,078.2","15,174.8","18,554.9",-
Libya,Foreign Direct Investment Inflows,Socio-economic indicators,LYD million,Current Prices,,,,,,-
Madagascar,Foreign Direct Investment Inflows,Socio-economic indicators,MGA million,Current Prices,"1,431,432.0","1,115,138.0","1,175,672.3","1,709,995.9","1,332,312.3",-
Malawi,Foreign Direct Investment Inflows,Socio-economic indicators,MWK million,Current Prices,"83,359.8","65,870.4","702,597.4","619,732.2","78,029.0",-
Mali,Foreign Direct Investment Inflows,Socio-economic indicators,XOF million,Current Prices,"211,416.6","327,866.8","259,725.7","422,343.4","181,498.0",-
Mauritania,Foreign Direct Investment Inflows,Socio-economic indicators,MRU million,Current Prices,"9,556.2","21,020.0","27,574.8","32,822.9","37,758.7",-
Mauritius,Foreign Direct Investment Inflows,Socio-economic indicators,MUR million,Current Prices,"13,462.0","16,550.9","15,627.2","16,606.0","8,951.9",-
Morocco,Foreign Direct Investment Inflows,Socio-economic indicators,MAD million,Current Prices,"21,153.9","26,078.9","33,398.8","16,540.6","17,098.5",-
Mozambique,Foreign Direct Investment Inflows,Socio-economic indicators,MZN million,Current Prices,"195,058.2","145,805.2","163,063.6","137,397.5","150,303.7",-
Namibia,Foreign Direct Investment Inflows,Socio-economic indicators,NAD million,Current Prices,"5,230.6","3,732.6","2,761.5","-2,585.6","-1,234.4",-
Niger,Foreign Direct Investment Inflows,Socio-economic indicators,XOF million,Current Prices,"178,712.2","197,177.4","259,029.2","420,297.3","216,072.4",-
Nigeria,Foreign Direct Investment Inflows,Socio-economic indicators,NGN million,Current Prices,"873,647.2","736,752.9","236,902.8","706,338.3","830,153.1",-
Oman,Foreign Direct Investment Inflows,Socio-economic indicators,OMR million,Current Prices,871.0,"1,122.0","2,284.0","1,315.0","1,573.7",-
Qatar,Foreign Direct Investment Inflows,Socio-economic indicators,QAR million,Current Prices,"2,817.0","3,589.0","-7,958.0","-10,238.0","-8,859.5",-
Réunion,Foreign Direct Investment Inflows,Socio-economic indicators,EUR million,Current Prices,,,,,,-
Rwanda,Foreign Direct Investment Inflows,Socio-economic indicators,RWF million,Current Prices,"269,476.2","296,387.9","328,861.6","319,228.3","127,523.5",-
Sao Tomé e Príncipe,Foreign Direct Investment Inflows,Socio-economic indicators,STN million,Current Prices,677.9,634.4,481.6,529.4,"1,036.4",-
Saudi Arabia,Foreign Direct Investment Inflows,Socio-economic indicators,SAR million,Current Prices,"27,947.0","5,320.7","15,926.7","17,109.7","20,572.9",-
Senegal,Foreign Direct Investment Inflows,Socio-economic indicators,XOF million,Current Prices,"280,173.5","342,469.6","471,235.6","624,433.7","872,139.6",-
Seychelles,Foreign Direct Investment Inflows,Socio-economic indicators,SCR million,Current Prices,"2,067.6","2,619.7","1,662.7","2,008.7","1,827.3",-
Sierra Leone,Foreign Direct Investment Inflows,Socio-economic indicators,SLL million,Current Prices,"867,796.2","951,731.1","1,727,611.9","3,303,849.9","3,462,266.6",-
Somalia,Foreign Direct Investment Inflows,Socio-economic indicators,SOS million,Current Prices,"7,610,388.8","8,523,157.3","9,914,400.0","11,247,760.8","11,928,057.5",-
South Africa,Foreign Direct Investment Inflows,Socio-economic indicators,ZAR million,Current Prices,"32,876.0","26,777.9","72,157.1","74,061.0","51,396.3",-
South Sudan,Foreign Direct Investment Inflows,Socio-economic indicators,SSP million,Current Prices,-366.8,161.4,"8,502.9","-51,009.3","5,142.3",-
Sudan,Foreign Direct Investment Inflows,Socio-economic indicators,SDG million,Current Prices,"7,181.9","11,368.9","27,632.5","37,141.0","47,248.2",-
Syria,Foreign Direct Investment Inflows,Socio-economic indicators,SYP million,Current Prices,,,,,,-
Tanzania,Foreign Direct Investment Inflows,Socio-economic indicators,TZS million,Current Prices,"1,890,750.9","2,100,452.9","2,210,591.5","2,278,074.8","2,359,521.2",-
Togo,Foreign Direct Investment Inflows,Socio-economic indicators,XOF million,Current Prices,"-27,464.2","51,554.5","-101,928.0","202,602.0","376,709.5",-
Tunisia,Foreign Direct Investment Inflows,Socio-economic indicators,TND million,Current Prices,"1,900.0","2,137.8","2,739.9","2,476.2","1,945.2",-
Uganda,Foreign Direct Investment Inflows,Socio-economic indicators,UGX million,Current Prices,"2,139,970.2","2,898,744.8","3,933,377.4","4,663,012.8","3,128,051.7",-
United Arab Emirates,Foreign Direct Investment Inflows,Socio-economic indicators,AED million,Current Prices,"35,273.5","38,025.9","38,140.0","65,644.7","73,025.7",-
Yemen,Foreign Direct Investment Inflows,Socio-economic indicators,YER million,Current Prices,"-120,553.3","-57,988.1","-79,854.6","-120,565.6",-,-
Zambia,Foreign Direct Investment Inflows,Socio-economic indicators,ZMW million,Current Prices,"6,836.5","10,542.8","4,271.5","7,173.9","3,507.5",-
Zimbabwe,Foreign Direct Investment Inflows,Socio-economic indicators,USD million,Current Prices,371.8,349.4,744.6,280.0,194.4,-
Canada,Foreign Direct Investment Inflows,Socio-economic indicators,CAD million,Current Prices,"47,788.4","29,545.4","49,549.7","63,476.0","32,378.8",-
USA,Foreign Direct Investment Inflows,Socio-economic indicators,USD million,Current Prices,"459,419.0","295,296.0","223,401.0","261,412.0","156,321.0",-
Austria,Foreign Direct Investment Inflows,Socio-economic indicators,EUR million,Current Prices,"-7,691.8","13,267.8","4,479.2",864.3,"-15,569.0",-
Belgium,Foreign Direct Investment Inflows,Socio-economic indicators,EUR million,Current Prices,"53,557.4",-628.5,"26,110.0","2,578.0","7,575.8",-
Cyprus,Foreign Direct Investment Inflows,Socio-economic indicators,EUR million,Current Prices,"9,878.5","8,360.5","-1,470.0","23,388.5","-3,274.3",-
Denmark,Foreign Direct Investment Inflows,Socio-economic indicators,DKK million,Current Prices,"1,584.1","24,745.0","7,568.0","23,924.0","7,721.6",-
Finland,Foreign Direct Investment Inflows,Socio-economic indicators,EUR million,Current Prices,"7,758.6","2,541.4","-1,839.4","12,159.2","2,311.8",-
France,Foreign Direct Investment Inflows,Socio-economic indicators,EUR million,Current Prices,"20,862.6","22,033.9","32,348.8","30,340.4","16,101.3",-
Germany,Foreign Direct Investment Inflows,Socio-economic indicators,EUR million,Current Prices,"14,132.9","43,159.4","52,585.8","48,293.8","32,010.5",-
Greece,Foreign Direct Investment Inflows,Socio-economic indicators,EUR million,Current Prices,"2,499.8","3,092.1","3,366.0","4,483.7","3,207.3",-
