,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economies and Consumers Quarterly Data | Historical | Non-seasonally adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021
Slovakia,Unemployment Rate,Socio-economic indicators,% of economically active population,-,10.367,9.633,9.533,9.133,8.700,8.100,7.967,7.733,7.100,6.633,6.367,6.067,5.833,5.700,5.867,5.667,5.967,6.633,7.233,6.967,7.067,6.933,6.767,6.300
Slovenia,Unemployment Rate,Socio-economic indicators,% of economically active population,-,8.867,7.800,7.333,8.100,7.833,6.467,6.333,5.767,6.000,5.233,5.000,4.400,4.867,4.200,4.767,4.033,4.567,5.200,5.133,5.133,5.667,4.367,4.533,4.633
Ukraine,Unemployment Rate,Socio-economic indicators,% of economically active population,-,9.900,9.000,8.800,9.700,10.100,9.100,8.900,9.900,9.700,8.300,8.000,9.300,9.200,7.800,7.300,8.700,8.500,9.800,9.500,10.100,10.400,9.300,9.100,10.013
Argentina,Unemployment Rate,Socio-economic indicators,% of economically active population,-,8.167,9.300,8.500,7.600,9.200,8.700,8.300,7.200,9.100,9.600,9.000,9.100,10.100,10.600,9.700,8.900,10.400,13.100,11.700,11.000,10.200,9.600,8.200,7.926
Brazil,Unemployment Rate,Socio-economic indicators,% of economically active population,-,11.100,11.400,11.900,12.200,13.900,13.100,12.500,11.900,13.200,12.600,12.000,11.700,12.800,12.100,11.900,11.100,12.400,13.600,14.900,14.200,14.900,14.200,12.600,12.217
Chile,Unemployment Rate,Socio-economic indicators,% of economically active population,-,6.300,7.100,6.800,6.100,6.600,7.000,6.700,6.400,6.900,7.200,7.100,6.800,6.850,7.103,7.048,6.981,8.229,12.248,11.577,10.227,10.244,8.933,8.077,7.377
Colombia,Unemployment Rate,Socio-economic indicators,% of economically active population,-,10.685,8.916,9.111,8.181,10.648,9.011,9.332,8.518,10.669,9.425,9.452,9.185,11.794,10.100,10.579,9.542,12.590,20.338,17.533,13.781,15.776,15.030,12.903,11.212
Costa Rica,Unemployment Rate,Socio-economic indicators,% of economically active population,-,9.501,9.390,9.720,9.541,9.130,8.497,9.368,9.293,10.255,8.673,10.176,11.951,11.286,11.924,11.395,12.417,12.455,24.008,21.985,19.980,18.691,18.065,15.298,13.680
Dominican Republic,Unemployment Rate,Socio-economic indicators,% of economically active population,-,13.304,13.324,13.344,13.324,13.047,13.209,13.327,13.350,13.316,13.439,13.543,13.541,13.484,13.579,13.656,13.628,13.547,13.625,13.690,13.655,13.570,13.644,13.702,13.651
Ecuador,Unemployment Rate,Socio-economic indicators,% of economically active population,-,7.353,6.676,6.681,6.517,5.643,5.778,5.364,5.819,5.685,5.212,5.197,4.803,5.825,5.574,5.944,4.948,10.885,16.822,8.593,7.375,6.943,7.421,6.553,5.520
Mexico,Unemployment Rate,Socio-economic indicators,% of economically active population,-,4.040,3.921,4.050,3.519,3.384,3.431,3.511,3.350,3.178,3.335,3.516,3.285,3.360,3.522,3.741,3.338,3.406,4.790,5.246,4.284,4.334,4.223,4.298,3.710
Peru,Unemployment Rate,Socio-economic indicators,% of economically active population,-,6.863,6.985,6.489,6.266,7.728,6.921,6.422,6.442,8.062,6.215,6.197,6.091,8.151,6.303,5.753,6.098,7.051,12.252,16.150,15.095,14.241,12.445,9.635,8.824
Uruguay,Unemployment Rate,Socio-economic indicators,% of economically active population,-,7.900,7.833,8.233,7.467,8.433,8.067,7.667,7.467,8.764,8.079,8.487,8.154,8.757,8.833,9.223,8.830,9.699,10.033,10.800,10.867,10.500,9.767,9.767,8.430
Venezuela,Unemployment Rate,Socio-economic indicators,% of economically active population,-,7.502,7.562,7.063,7.049,7.754,7.251,7.086,6.665,7.263,6.849,6.661,6.837,8.036,7.536,7.710,7.025,8.743,8.200,8.296,7.330,8.760,7.940,7.912,7.003
Bahrain,Unemployment Rate,Socio-economic indicators,% of economically active population,-,3.733,3.867,4.200,4.300,4.303,4.268,4.008,3.951,3.860,3.811,3.676,3.749,3.752,3.755,3.648,3.735,3.744,3.751,3.646,3.734,3.743,3.751,3.646,3.734
Egypt,Unemployment Rate,Socio-economic indicators,% of economically active population,-,12.733,12.478,12.630,12.353,12.018,11.980,11.920,11.304,10.601,9.902,9.995,8.888,8.106,7.460,7.787,8.045,7.708,9.644,7.300,7.200,7.359,7.264,7.500,7.797
Iran,Unemployment Rate,Socio-economic indicators,% of economically active population,-,11.800,12.200,12.700,12.300,12.500,12.600,11.700,11.900,12.100,12.100,12.200,11.700,12.100,10.900,10.400,10.600,10.600,9.800,9.500,9.700,8.800,8.977,8.659,8.734
Israel,Unemployment Rate,Socio-economic indicators,% of economically active population,-,5.032,4.503,5.057,4.600,4.195,4.198,4.234,4.232,3.573,3.843,4.285,4.280,3.869,3.665,3.885,3.791,3.364,3.957,5.076,4.918,4.685,5.171,5.344,4.620
Jordan,Unemployment Rate,Socio-economic indicators,% of economically active population,-,14.628,14.755,15.874,15.831,18.242,17.888,17.517,18.929,18.292,18.604,18.210,18.003,18.097,17.753,15.366,16.089,19.327,19.591,20.101,20.411,21.972,21.136,19.503,19.157
Morocco,Unemployment Rate,Socio-economic indicators,% of economically active population,-,10.000,8.600,9.600,9.000,10.700,9.300,10.600,10.600,10.465,9.100,9.300,9.400,9.070,8.100,9.400,10.200,10.544,12.344,12.700,11.937,12.483,12.843,11.807,12.280
Nigeria,Unemployment Rate,Socio-economic indicators,% of economically active population,-,12.100,13.300,13.900,14.200,14.400,16.200,18.800,20.400,21.800,22.700,23.100,23.000,22.800,22.700,22.500,22.200,22.600,27.107,30.190,33.280,28.780,28.143,27.365,25.010
Qatar,Unemployment Rate,Socio-economic indicators,% of economically active population,-,0.168,0.167,0.163,0.143,0.139,0.145,0.139,0.133,0.120,0.111,0.099,0.102,0.102,0.109,0.107,0.121,0.105,0.131,0.138,0.145,0.153,0.147,,
Saudi Arabia,Unemployment Rate,Socio-economic indicators,% of economically active population,-,5.623,5.645,5.727,5.600,5.800,6.027,5.810,5.954,6.096,5.987,5.993,6.042,5.724,5.618,5.531,5.673,5.669,8.980,8.503,7.449,6.465,6.571,6.589,6.442
South Africa,Unemployment Rate,Socio-economic indicators,% of economically active population,-,26.700,26.600,27.100,26.500,27.700,27.700,27.700,26.700,26.700,27.200,27.500,27.100,27.600,29.000,29.100,29.100,30.100,23.300,30.800,32.500,32.600,34.400,34.900,35.546
Tunisia,Unemployment Rate,Socio-economic indicators,% of economically active population,-,15.400,15.600,15.500,15.500,15.300,15.300,15.300,15.514,15.370,15.426,15.506,15.531,15.300,15.300,15.100,14.900,15.113,17.981,16.155,17.400,17.800,17.900,18.400,17.258
Canada,Unemployment Rate,Socio-economic indicators,% of economically active population,-,7.700,6.996,7.104,6.400,7.167,6.497,6.405,5.533,6.267,5.965,6.070,5.267,6.233,5.597,5.838,5.267,6.751,13.075,10.307,8.067,8.830,8.062,7.305,5.667
USA,Unemployment Rate,Socio-economic indicators,% of economically active population,-,5.200,4.767,4.967,4.533,4.867,4.233,4.400,3.900,4.333,3.833,3.867,3.567,4.133,3.500,3.700,3.333,4.100,12.867,8.900,6.500,6.533,5.767,5.200,3.967
Austria,Unemployment Rate,Socio-economic indicators,% of economically active population,-,7.267,6.333,6.267,5.933,6.900,5.600,5.600,5.600,6.100,4.800,5.033,4.900,5.733,4.667,4.533,4.433,5.233,6.767,6.100,6.000,7.967,6.533,5.267,5.033
Belgium,Unemployment Rate,Socio-economic indicators,% of economically active population,-,8.367,7.933,7.900,7.233,7.700,7.033,7.267,6.400,6.133,6.100,5.900,5.700,5.600,5.333,5.367,5.167,5.067,4.900,6.433,5.767,6.700,6.133,6.500,5.767
Denmark,Unemployment Rate,Socio-economic indicators,% of economically active population,-,6.267,5.867,6.067,5.833,6.267,5.733,5.900,5.367,5.367,5.067,5.033,5.000,5.467,4.767,5.000,5.000,5.033,5.300,6.333,5.933,6.133,4.833,4.933,5.033
Finland,Unemployment Rate,Socio-economic indicators,% of economically active population,-,9.733,9.967,7.767,8.200,9.500,10.067,7.800,7.700,8.900,8.267,6.533,6.033,7.067,7.833,6.000,6.067,7.100,8.867,7.600,7.333,8.433,9.167,6.867,6.233
France,Unemployment Rate,Socio-economic indicators,% of economically active population,-,10.633,9.633,9.667,10.333,10.000,9.133,9.300,9.267,9.600,8.667,8.833,9.000,9.000,8.033,8.300,8.400,8.100,6.833,8.933,8.267,8.333,7.633,7.967,7.767
Germany,Unemployment Rate,Socio-economic indicators,% of economically active population,-,4.567,4.200,4.000,3.767,4.100,3.767,3.633,3.533,3.633,3.467,3.333,3.167,3.367,3.067,3.100,3.067,3.633,3.867,4.100,3.733,4.100,3.700,3.233,3.033
Greece,Unemployment Rate,Socio-economic indicators,% of economically active population,-,24.933,23.100,22.667,23.567,23.400,21.200,20.267,21.267,21.200,19.000,18.333,18.700,19.233,16.933,16.367,16.800,16.700,16.667,16.167,16.233,17.100,15.800,13.033,13.367
Ireland,Unemployment Rate,Socio-economic indicators,% of economically active population,-,8.800,9.067,8.533,7.233,7.033,6.867,6.933,6.100,5.700,6.067,5.967,5.367,4.767,5.400,5.233,4.500,4.667,5.400,7.433,5.900,7.133,7.333,5.733,4.867
Italy,Unemployment Rate,Socio-economic indicators,% of economically active population,-,12.167,11.633,10.933,12.267,12.200,11.033,10.600,11.200,11.567,10.700,9.333,10.800,11.033,9.700,9.133,9.867,9.367,7.933,10.200,9.700,10.667,9.633,8.833,8.933
Netherlands,Unemployment Rate,Socio-economic indicators,% of economically active population,-,7.767,7.200,6.600,6.433,6.567,6.033,5.533,5.367,5.400,4.900,4.633,4.533,4.733,4.367,4.300,4.333,4.267,4.833,5.300,5.000,4.833,4.333,4.000,3.733
Norway,Unemployment Rate,Socio-economic indicators,% of economically active population,-,5.067,4.833,4.800,4.333,4.333,4.467,4.100,3.867,3.967,3.900,4.000,3.633,3.733,3.467,3.867,3.733,3.633,4.633,5.267,4.867,4.800,4.933,4.067,3.544
Portugal,Unemployment Rate,Socio-economic indicators,% of economically active population,-,12.700,11.367,10.967,10.833,10.433,9.300,8.733,8.433,8.067,6.967,6.733,6.900,6.933,6.500,6.367,6.900,6.867,6.367,7.867,7.367,7.100,6.700,6.267,6.333
Spain,Unemployment Rate,Socio-economic indicators,% of economically active population,-,21.000,20.000,18.933,18.667,18.767,17.233,16.400,16.533,16.733,15.300,14.567,14.467,14.733,14.033,13.900,13.767,14.433,15.333,16.233,16.133,16.000,15.267,14.600,13.333
Sweden,Unemployment Rate,Socio-economic indicators,% of economically active population,-,7.600,7.500,6.333,6.367,7.167,7.267,6.267,6.033,6.600,6.833,6.000,5.867,7.167,7.033,6.600,6.267,7.600,9.000,8.667,7.900,9.667,9.833,8.233,7.467
Switzerland,Unemployment Rate,Socio-economic indicators,% of economically active population,-,5.333,4.633,5.100,4.600,5.267,4.400,5.000,4.533,5.200,4.600,4.400,4.633,4.933,4.167,4.567,3.900,4.500,4.567,5.233,4.933,5.833,5.033,5.100,4.602
Turkey,Unemployment Rate,Socio-economic indicators,% of economically active population,-,10.864,9.401,11.265,12.095,12.694,10.198,10.534,10.267,10.528,9.635,11.067,12.328,14.659,12.935,14.100,13.265,13.541,12.804,13.333,12.899,13.531,11.892,11.730,10.993
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unemployment Rate: Euromonitor International from International Labour Organisation (ILO)/Eurostat/national statistics/OECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Exported (GMT): 19/2/2565 16:40:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Euromonitor International,,,,,,,,,,,,,,,,,,,,,,,,,,,,
