,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Economies and Consumers Annual Data | Historical,,,,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,2016,2017,2018,2019,2020,2021
Kyrgyzstan,Real GDP Growth,Socio-economic indicators,% growth,-,4.336,4.740,3.459,4.601,-8.617,2.098
Laos,Real GDP Growth,Socio-economic indicators,% growth,-,7.023,6.832,6.308,5.169,-0.435,2.061
"Macau, China",Real GDP Growth,Socio-economic indicators,% growth,-,-0.718,10.000,6.466,-2.629,-56.308,20.435
Malaysia,Real GDP Growth,Socio-economic indicators,% growth,-,4.450,5.813,4.843,4.439,-5.647,3.385
Maldives,Real GDP Growth,Socio-economic indicators,% growth,-,6.338,7.210,8.123,6.884,-33.500,18.868
Mongolia,Real GDP Growth,Socio-economic indicators,% growth,-,1.168,5.337,7.247,5.159,-5.336,5.200
Myanmar,Real GDP Growth,Socio-economic indicators,% growth,-,5.862,6.400,6.800,3.200,-8.640,-1.516
Nauru,Real GDP Growth,Socio-economic indicators,% growth,-,2.808,3.000,-5.500,5.700,1.000,1.550
Nepal,Real GDP Growth,Socio-economic indicators,% growth,-,0.433,8.977,7.622,6.657,-2.088,1.803
New Caledonia,Real GDP Growth,Socio-economic indicators,% growth,-,-0.200,1.600,-0.100,-1.200,-4.200,3.000
North Korea,Real GDP Growth,Socio-economic indicators,% growth,-,3.869,-3.482,-4.148,0.353,-4.532,0.500
Pakistan,Real GDP Growth,Socio-economic indicators,% growth,-,5.527,5.554,5.836,1.145,-0.935,4.698
Papua New Guinea,Real GDP Growth,Socio-economic indicators,% growth,-,5.490,3.535,-0.279,5.860,-3.905,1.215
Philippines,Real GDP Growth,Socio-economic indicators,% growth,-,7.149,6.931,6.341,6.119,-9.573,5.293
Samoa,Real GDP Growth,Socio-economic indicators,% growth,-,3.703,-0.580,0.733,2.414,-2.742,-7.226
Singapore,Real GDP Growth,Socio-economic indicators,% growth,-,3.329,4.520,3.497,1.345,-5.391,6.515
Solomon Islands,Real GDP Growth,Socio-economic indicators,% growth,-,5.873,5.347,3.943,1.204,-4.320,1.229
South Korea,Real GDP Growth,Socio-economic indicators,% growth,-,2.947,3.160,2.907,2.244,-0.852,4.008
Sri Lanka,Real GDP Growth,Socio-economic indicators,% growth,-,4.487,3.578,3.272,2.255,-3.569,3.930
Taiwan,Real GDP Growth,Socio-economic indicators,% growth,-,2.165,3.311,2.787,3.064,3.359,5.987
Tajikistan,Real GDP Growth,Socio-economic indicators,% growth,-,6.949,8.783,7.570,7.443,4.500,5.000
Thailand,Real GDP Growth,Socio-economic indicators,% growth,-,3.435,4.178,4.190,2.266,-6.099,1.015
Tonga,Real GDP Growth,Socio-economic indicators,% growth,-,6.571,3.322,0.302,0.732,0.655,-2.023
Turkmenistan,Real GDP Growth,Socio-economic indicators,% growth,-,-4.678,0.478,1.326,-7.721,-3.355,4.532
Tuvalu,Real GDP Growth,Socio-economic indicators,% growth,-,5.885,5.937,7.006,6.275,1.006,2.532
Uzbekistan,Real GDP Growth,Socio-economic indicators,% growth,-,6.314,4.395,5.355,5.710,1.729,6.314
Vanuatu,Real GDP Growth,Socio-economic indicators,% growth,-,3.466,4.418,2.900,3.265,-9.235,1.219
Vietnam,Real GDP Growth,Socio-economic indicators,% growth,-,6.210,6.810,7.080,7.040,2.341,1.890
Australia,Real GDP Growth,Socio-economic indicators,% growth,-,2.699,2.416,2.822,1.940,-2.195,3.985
New Zealand,Real GDP Growth,Socio-economic indicators,% growth,-,3.712,4.355,4.019,2.594,-0.309,4.191
Albania,Real GDP Growth,Socio-economic indicators,% growth,-,3.315,3.802,4.019,2.113,-3.311,5.300
Belarus,Real GDP Growth,Socio-economic indicators,% growth,-,-2.526,2.532,3.190,1.446,-0.673,2.041
Bosnia and Herzegovina,Real GDP Growth,Socio-economic indicators,% growth,-,3.353,4.490,5.145,2.762,-3.198,4.624
Bulgaria,Real GDP Growth,Socio-economic indicators,% growth,-,3.040,2.762,2.685,4.038,-4.387,3.215
Croatia,Real GDP Growth,Socio-economic indicators,% growth,-,3.532,3.414,2.900,3.482,-8.100,10.615
Czech Republic,Real GDP Growth,Socio-economic indicators,% growth,-,2.537,5.169,3.199,3.029,-5.798,2.513
Estonia,Real GDP Growth,Socio-economic indicators,% growth,-,3.156,5.792,4.134,4.097,-2.951,8.585
Georgia,Real GDP Growth,Socio-economic indicators,% growth,-,2.906,4.842,4.870,4.980,-6.678,9.036
Hungary,Real GDP Growth,Socio-economic indicators,% growth,-,2.192,4.269,5.359,4.554,-4.676,6.712
Kosovo,Real GDP Growth,Socio-economic indicators,% growth,-,5.572,4.826,3.407,4.757,-5.340,6.000
Latvia,Real GDP Growth,Socio-economic indicators,% growth,-,2.368,3.313,3.989,2.484,-3.619,4.515
Lithuania,Real GDP Growth,Socio-economic indicators,% growth,-,2.519,4.282,3.993,4.574,-0.132,4.710
Moldova,Real GDP Growth,Socio-economic indicators,% growth,-,4.409,4.691,4.300,3.700,-6.969,4.500
Montenegro,Real GDP Growth,Socio-economic indicators,% growth,-,2.950,4.715,5.079,4.063,-15.200,7.000
North Macedonia,Real GDP Growth,Socio-economic indicators,% growth,-,2.848,1.082,2.881,3.910,-6.111,3.902
Poland,Real GDP Growth,Socio-economic indicators,% growth,-,3.142,4.831,5.354,4.745,-2.541,5.110
Romania,Real GDP Growth,Socio-economic indicators,% growth,-,4.698,7.343,4.475,4.177,-3.945,6.685
Russia,Real GDP Growth,Socio-economic indicators,% growth,-,0.194,1.826,2.807,2.033,-2.951,4.215
Serbia,Real GDP Growth,Socio-economic indicators,% growth,-,3.339,2.101,4.495,4.249,-0.980,8.171
Slovakia,Real GDP Growth,Socio-economic indicators,% growth,-,1.932,2.980,3.794,2.605,-4.359,4.087
Slovenia,Real GDP Growth,Socio-economic indicators,% growth,-,3.192,4.816,4.422,3.251,-4.230,6.312
Ukraine,Real GDP Growth,Socio-economic indicators,% growth,-,2.441,2.360,3.488,3.199,-4.042,3.085
Anguilla,Real GDP Growth,Socio-economic indicators,% growth,-,-2.447,-6.621,8.540,5.528,-29.872,7.034
Antigua and Barbuda,Real GDP Growth,Socio-economic indicators,% growth,-,5.496,3.144,6.884,4.862,-20.188,0.965
Argentina,Real GDP Growth,Socio-economic indicators,% growth,-,-2.080,2.819,-2.617,-2.026,-9.895,9.013
Aruba,Real GDP Growth,Socio-economic indicators,% growth,-,1.168,2.564,-0.303,-0.700,-22.320,12.781
Bahamas,Real GDP Growth,Socio-economic indicators,% growth,-,0.091,1.625,2.767,0.702,-14.514,2.000
Barbados,Real GDP Growth,Socio-economic indicators,% growth,-,2.485,0.478,-0.583,-1.287,-18.000,3.300
Belize,Real GDP Growth,Socio-economic indicators,% growth,-,-0.185,2.132,2.046,1.959,-16.748,8.500
Bermuda,Real GDP Growth,Socio-economic indicators,% growth,-,-0.657,3.611,-0.433,0.460,-7.449,1.821
Bolivia,Real GDP Growth,Socio-economic indicators,% growth,-,4.264,4.195,4.224,2.217,-8.829,7.778
Brazil,Real GDP Growth,Socio-economic indicators,% growth,-,-3.276,1.323,1.784,1.221,-3.879,4.713
British Virgin Islands,Real GDP Growth,Socio-economic indicators,% growth,-,6.645,-0.388,-0.014,1.711,1.729,2.706
Cayman Islands,Real GDP Growth,Socio-economic indicators,% growth,-,3.240,3.184,4.194,3.817,-6.700,1.200
Chile,Real GDP Growth,Socio-economic indicators,% growth,-,1.711,1.185,3.714,0.942,-5.772,11.515
Colombia,Real GDP Growth,Socio-economic indicators,% growth,-,2.087,1.359,2.564,3.281,-6.796,9.512
Costa Rica,Real GDP Growth,Socio-economic indicators,% growth,-,4.204,4.158,2.616,2.256,-4.064,4.722
Cuba,Real GDP Growth,Socio-economic indicators,% growth,-,0.514,1.811,2.248,-0.165,-10.948,2.200
Curacao,Real GDP Growth,Socio-economic indicators,% growth,-,-0.987,-1.739,-2.166,-3.400,-19.300,0.100
Dominica,Real GDP Growth,Socio-economic indicators,% growth,-,2.764,-6.771,3.717,5.502,-16.057,3.365
Dominican Republic,Real GDP Growth,Socio-economic indicators,% growth,-,6.659,4.667,6.983,5.052,-6.720,10.284
Ecuador,Real GDP Growth,Socio-economic indicators,% growth,-,-1.226,2.368,1.289,0.012,-7.750,4.134
El Salvador,Real GDP Growth,Socio-economic indicators,% growth,-,2.540,2.250,2.412,2.635,-7.944,9.025
French Guiana,Real GDP Growth,Socio-economic indicators,% growth,-,3.018,0.145,2.753,0.444,-2.732,2.058
Grenada,Real GDP Growth,Socio-economic indicators,% growth,-,3.739,4.439,4.362,0.676,-13.756,2.679
Guadeloupe,Real GDP Growth,Socio-economic indicators,% growth,-,-0.300,3.400,1.500,0.600,-4.900,3.691
Guatemala,Real GDP Growth,Socio-economic indicators,% growth,-,2.678,3.080,3.322,3.867,-1.519,7.734
Guyana,Real GDP Growth,Socio-economic indicators,% growth,-,3.807,3.734,4.441,5.353,43.480,20.409
Haiti,Real GDP Growth,Socio-economic indicators,% growth,-,2.307,2.510,1.668,-1.685,-3.343,-0.700
Honduras,Real GDP Growth,Socio-economic indicators,% growth,-,3.894,4.843,3.845,2.652,-8.964,8.110
Jamaica,Real GDP Growth,Socio-economic indicators,% growth,-,1.375,0.997,1.890,0.892,-10.049,4.576
Martinique,Real GDP Growth,Socio-economic indicators,% growth,-,-1.200,0.200,1.200,1.400,-3.900,2.938
Mexico,Real GDP Growth,Socio-economic indicators,% growth,-,2.631,2.113,2.195,-0.186,-8.167,5.512
Nicaragua,Real GDP Growth,Socio-economic indicators,% growth,-,4.563,4.631,-3.363,-3.674,-1.977,5.000
Panama,Real GDP Growth,Socio-economic indicators,% growth,-,4.953,5.591,3.685,2.980,-17.945,13.019
Paraguay,Real GDP Growth,Socio-economic indicators,% growth,-,4.268,4.810,3.204,-0.402,-0.820,4.794
Peru,Real GDP Growth,Socio-economic indicators,% growth,-,4.050,2.475,3.888,2.150,-11.017,12.513
Puerto Rico,Real GDP Growth,Socio-economic indicators,% growth,-,-1.263,-2.886,-4.147,1.485,-3.904,-0.600
Sint Maarten,Real GDP Growth,Socio-economic indicators,% growth,-,0.500,-5.800,-6.600,8.200,-22.400,3.400
St Kitts and Nevis,Real GDP Growth,Socio-economic indicators,% growth,-,2.826,-1.977,2.924,2.054,-10.743,-1.025
St Lucia,Real GDP Growth,Socio-economic indicators,% growth,-,3.428,3.489,2.926,-0.064,-20.374,3.475
St Vincent and the Grenadines,Real GDP Growth,Socio-economic indicators,% growth,-,1.897,1.000,2.163,0.495,-2.728,-6.072
Suriname,Real GDP Growth,Socio-economic indicators,% growth,-,-4.912,1.566,4.948,1.098,-15.906,0.684
Trinidad and Tobago,Real GDP Growth,Socio-economic indicators,% growth,-,-6.318,-2.681,-0.706,-0.171,-7.374,-1.015
Uruguay,Real GDP Growth,Socio-economic indicators,% growth,-,1.678,1.628,0.478,0.350,-5.859,3.385
US Virgin Islands,Real GDP Growth,Socio-economic indicators,% growth,-,1.600,-0.700,1.600,2.200,-3.272,5.298
Venezuela,Real GDP Growth,Socio-economic indicators,% growth,-,-16.762,-15.903,-19.540,-29.924,-25.819,-10.202
Algeria,Real GDP Growth,Socio-economic indicators,% growth,-,3.200,1.300,1.200,0.800,-4.900,3.410
Angola,Real GDP Growth,Socio-economic indicators,% growth,-,-2.582,-0.158,-1.987,-0.557,-5.345,0.128
Bahrain,Real GDP Growth,Socio-economic indicators,% growth,-,3.473,3.812,2.315,2.141,-4.936,2.899
Benin,Real GDP Growth,Socio-economic indicators,% growth,-,3.340,5.672,6.697,6.866,1.997,5.511
Botswana,Real GDP Growth,Socio-economic indicators,% growth,-,7.037,4.003,3.980,2.993,-8.493,9.162
Burkina Faso,Real GDP Growth,Socio-economic indicators,% growth,-,5.958,6.203,6.731,5.699,1.930,6.667
Burundi,Real GDP Growth,Socio-economic indicators,% growth,-,3.200,3.832,5.307,4.460,-1.040,1.634
Cabo Verde,Real GDP Growth,Socio-economic indicators,% growth,-,4.706,3.702,4.531,5.668,-14.783,3.995
Cameroon,Real GDP Growth,Socio-economic indicators,% growth,-,4.536,3.541,3.956,3.475,0.492,3.323
Central African Republic,Real GDP Growth,Socio-economic indicators,% growth,-,4.750,4.527,3.789,2.970,0.970,-0.998
Chad,Real GDP Growth,Socio-economic indicators,% growth,-,-6.400,-2.400,2.303,2.960,-0.821,0.939
Comoros,Real GDP Growth,Socio-economic indicators,% growth,-,2.603,2.952,2.956,1.756,-0.504,1.600
"Congo, Democratic Republic",Real GDP Growth,Socio-economic indicators,% growth,-,2.400,3.700,5.785,4.447,1.735,4.862
Congo-Brazzaville,Real GDP Growth,Socio-economic indicators,% growth,-,-10.702,-4.374,-4.846,-0.431,-8.169,-0.164
Côte d'Ivoire,Real GDP Growth,Socio-economic indicators,% growth,-,7.180,7.360,6.890,6.232,1.995,5.956
Djibouti,Real GDP Growth,Socio-economic indicators,% growth,-,6.653,5.397,8.413,6.565,1.163,5.000
Egypt,Real GDP Growth,Socio-economic indicators,% growth,-,4.326,4.203,5.314,5.558,3.570,3.326
Equatorial Guinea,Real GDP Growth,Socio-economic indicators,% growth,-,-8.816,-5.668,-6.237,-5.979,-4.893,4.146
Eritrea,Real GDP Growth,Socio-economic indicators,% growth,-,7.391,-10.015,13.032,3.836,-0.627,2.911
Eswatini,Real GDP Growth,Socio-economic indicators,% growth,-,1.268,2.025,2.372,2.244,-5.582,1.529
Ethiopia,Real GDP Growth,Socio-economic indicators,% growth,-,7.562,9.564,6.816,8.364,6.057,1.989
Gabon,Real GDP Growth,Socio-economic indicators,% growth,-,2.091,0.473,0.843,3.945,-0.762,1.481
Gambia,Real GDP Growth,Socio-economic indicators,% growth,-,1.943,4.823,7.235,10.534,-6.183,4.860
Ghana,Real GDP Growth,Socio-economic indicators,% growth,-,3.373,8.129,6.200,6.508,0.414,3.841
Guinea,Real GDP Growth,Socio-economic indicators,% growth,-,10.829,10.300,6.358,5.646,7.087,5.173
Guinea-Bissau,Real GDP Growth,Socio-economic indicators,% growth,-,6.263,5.919,3.358,4.500,-1.400,3.300
Iran,Real GDP Growth,Socio-economic indicators,% growth,-,8.815,2.759,-2.254,-1.340,1.762,2.236
Iraq,Real GDP Growth,Socio-economic indicators,% growth,-,13.787,-1.820,2.630,5.960,-15.800,3.647
Israel,Real GDP Growth,Socio-economic indicators,% growth,-,4.463,4.366,4.112,3.729,-2.077,6.210
Jordan,Real GDP Growth,Socio-economic indicators,% growth,-,2.015,2.137,1.942,3.731,-1.553,2.062
Kenya,Real GDP Growth,Socio-economic indicators,% growth,-,5.888,3.816,5.629,4.981,-0.316,5.810
Kuwait,Real GDP Growth,Socio-economic indicators,% growth,-,3.549,-3.484,2.434,-0.552,-8.855,1.208
Lebanon,Real GDP Growth,Socio-economic indicators,% growth,-,1.582,0.782,-1.702,-7.157,-25.000,-2.336
Lesotho,Real GDP Growth,Socio-economic indicators,% growth,-,3.636,-3.183,-1.223,2.586,-6.514,2.811
Liberia,Real GDP Growth,Socio-economic indicators,% growth,-,-0.500,2.500,1.223,-2.516,-2.967,3.561
Libya,Real GDP Growth,Socio-economic indicators,% growth,-,-1.485,32.341,8.120,-28.079,-59.719,123.173
Madagascar,Real GDP Growth,Socio-economic indicators,% growth,-,3.993,3.933,3.194,4.411,-6.810,2.913
Malawi,Real GDP Growth,Socio-economic indicators,% growth,-,7.836,10.500,4.354,5.556,0.904,2.200
Mali,Real GDP Growth,Socio-economic indicators,% growth,-,8.905,6.728,6.773,6.292,-1.591,4.025
Mauritania,Real GDP Growth,Socio-economic indicators,% growth,-,1.261,6.266,4.527,5.798,-1.763,2.729
Mauritius,Real GDP Growth,Socio-economic indicators,% growth,-,3.838,3.814,3.760,3.015,-14.900,5.000
Morocco,Real GDP Growth,Socio-economic indicators,% growth,-,1.060,4.249,3.149,2.608,-6.293,6.010
Mozambique,Real GDP Growth,Socio-economic indicators,% growth,-,3.824,3.741,3.444,2.315,-1.234,2.458
Namibia,Real GDP Growth,Socio-economic indicators,% growth,-,0.034,-1.027,1.108,-0.606,-7.984,1.326
Niger,Real GDP Growth,Socio-economic indicators,% growth,-,5.741,5.001,7.211,5.941,3.580,5.360
Nigeria,Real GDP Growth,Socio-economic indicators,% growth,-,-1.543,0.806,1.923,2.208,-1.794,3.012
Oman,Real GDP Growth,Socio-economic indicators,% growth,-,4.897,0.346,0.919,-0.825,-2.835,2.483
Qatar,Real GDP Growth,Socio-economic indicators,% growth,-,3.064,-1.498,1.235,0.775,-3.640,2.551
Réunion,Real GDP Growth,Socio-economic indicators,% growth,-,3.000,2.300,1.700,2.200,-4.150,3.126
Rwanda,Real GDP Growth,Socio-economic indicators,% growth,-,5.972,3.973,8.578,9.469,-3.357,5.104
Sao Tomé e Príncipe,Real GDP Growth,Socio-economic indicators,% growth,-,4.165,3.849,3.028,2.211,3.003,2.131
Saudi Arabia,Real GDP Growth,Socio-economic indicators,% growth,-,1.671,-0.742,2.437,0.334,-4.138,2.815
Senegal,Real GDP Growth,Socio-economic indicators,% growth,-,6.370,7.394,6.209,4.402,1.500,4.747
Seychelles,Real GDP Growth,Socio-economic indicators,% growth,-,4.400,4.901,1.771,1.191,-10.771,6.896
Sierra Leone,Real GDP Growth,Socio-economic indicators,% growth,-,6.344,3.783,3.446,5.508,-2.175,3.194
Somalia,Real GDP Growth,Socio-economic indicators,% growth,-,4.600,2.400,3.800,3.300,-0.300,1.600
South Africa,Real GDP Growth,Socio-economic indicators,% growth,-,0.665,1.158,1.488,0.113,-6.432,5.185
South Sudan,Real GDP Growth,Socio-economic indicators,% growth,-,-6.642,-3.495,3.843,11.380,-6.589,5.325
Sudan,Real GDP Growth,Socio-economic indicators,% growth,-,3.575,4.674,2.817,1.273,-3.630,0.900
Syria,Real GDP Growth,Socio-economic indicators,% growth,-,-5.630,-0.728,1.476,3.748,5.000,3.408
Tanzania,Real GDP Growth,Socio-economic indicators,% growth,-,6.867,6.773,6.952,6.996,4.788,4.823
Togo,Real GDP Growth,Socio-economic indicators,% growth,-,11.621,4.008,3.951,3.600,0.700,4.776
Tunisia,Real GDP Growth,Socio-economic indicators,% growth,-,1.117,2.238,2.547,1.512,-9.340,3.287
Uganda,Real GDP Growth,Socio-economic indicators,% growth,-,4.644,3.304,6.304,6.439,2.951,4.492
United Arab Emirates,Real GDP Growth,Socio-economic indicators,% growth,-,3.061,2.374,1.190,1.678,-5.913,2.370
Yemen,Real GDP Growth,Socio-economic indicators,% growth,-,-15.033,-10.573,-0.822,1.441,-8.500,-2.000
Zambia,Real GDP Growth,Socio-economic indicators,% growth,-,3.753,3.527,4.034,1.441,-2.785,1.005
Zimbabwe,Real GDP Growth,Socio-economic indicators,% growth,-,0.489,4.967,4.835,-6.144,-4.069,5.133
Canada,Real GDP Growth,Socio-economic indicators,% growth,-,1.001,3.040,2.777,1.880,-5.233,4.715
USA,Real GDP Growth,Socio-economic indicators,% growth,-,1.667,2.256,2.919,2.289,-3.405,5.515
Andorra,Real GDP Growth,Socio-economic indicators,% growth,-,3.710,0.346,1.589,2.015,-11.953,5.500
Austria,Real GDP Growth,Socio-economic indicators,% growth,-,1.989,2.259,2.502,1.491,-6.735,4.315
Belgium,Real GDP Growth,Socio-economic indicators,% growth,-,1.267,1.619,1.819,2.150,-5.660,5.813
Cyprus,Real GDP Growth,Socio-economic indicators,% growth,-,6.454,5.852,5.693,5.283,-5.229,4.766
Denmark,Real GDP Growth,Socio-economic indicators,% growth,-,3.246,2.822,1.990,2.115,-2.062,3.513
Finland,Real GDP Growth,Socio-economic indicators,% growth,-,2.811,3.192,1.142,1.221,-2.800,3.215
France,Real GDP Growth,Socio-economic indicators,% growth,-,1.096,2.292,1.865,1.843,-7.855,6.507
Germany,Real GDP Growth,Socio-economic indicators,% growth,-,2.230,2.680,1.086,1.051,-4.561,2.513
Gibraltar,Real GDP Growth,Socio-economic indicators,% growth,-,7.500,7.500,5.900,5.000,-6.200,4.000
Greece,Real GDP Growth,Socio-economic indicators,% growth,-,-0.487,1.092,1.668,1.804,-9.019,7.513
Iceland,Real GDP Growth,Socio-economic indicators,% growth,-,6.304,4.195,4.892,2.435,-6.504,3.696
Ireland,Real GDP Growth,Socio-economic indicators,% growth,-,2.042,8.940,9.030,4.917,5.867,14.510
Italy,Real GDP Growth,Socio-economic indicators,% growth,-,1.293,1.668,0.926,0.410,-8.941,6.312
Liechtenstein,Real GDP Growth,Socio-economic indicators,% growth,-,2.332,3.172,3.936,-1.039,-2.175,4.000
Luxembourg,Real GDP Growth,Socio-economic indicators,% growth,-,4.979,1.317,2.004,3.284,-1.777,5.513
Malta,Real GDP Growth,Socio-economic indicators,% growth,-,3.144,11.538,6.138,5.892,-8.228,5.711
Monaco,Real GDP Growth,Socio-economic indicators,% growth,-,3.452,-3.501,5.999,6.900,-11.800,5.656
Netherlands,Real GDP Growth,Socio-economic indicators,% growth,-,2.192,2.911,2.361,1.956,-3.797,4.315
Norway,Real GDP Growth,Socio-economic indicators,% growth,-,1.072,2.323,1.119,0.746,-0.717,4.015
Portugal,Real GDP Growth,Socio-economic indicators,% growth,-,2.019,3.506,2.849,2.683,-8.442,4.412
Spain,Real GDP Growth,Socio-economic indicators,% growth,-,3.031,2.974,2.289,2.085,-10.823,4.512
Sweden,Real GDP Growth,Socio-economic indicators,% growth,-,2.071,2.568,1.950,1.986,-2.948,4.413
Switzerland,Real GDP Growth,Socio-economic indicators,% growth,-,2.045,1.585,2.917,1.211,-2.393,3.513
Turkey,Real GDP Growth,Socio-economic indicators,% growth,-,3.323,7.502,2.980,0.890,1.794,10.013
United Kingdom,Real GDP Growth,Socio-economic indicators,% growth,-,1.722,1.740,1.253,1.371,-9.880,6.688
,,,,,,,,,,
Research Sources:,,,,,,,,,,
"Real GDP Growth: Euromonitor International from national statistics/Eurostat/OECD/UN/International Monetary Fund (IMF), World Economic Outlook (WEO)",,,,,,,,,,
,,,,,,,,,,
Date Exported (GMT): 17/2/2565 9:37:54,,,,,,,,,,
© Euromonitor International,,,,,,,,,,
