,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economies and Consumers Quarterly Data | Historical | Non-seasonally adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021
Vietnam,Inflation,Socio-economic indicators,% growth over previous period,-,0.916,1.374,0.866,1.626,0.999,-0.194,0.629,1.269,1.093,0.714,0.998,0.595,0.298,0.733,0.577,2.019,2.132,-1.874,0.921,0.222,1.051,0.452,0.760,-0.379
Australia,Inflation,Socio-economic indicators,% growth over previous period,-,-0.185,0.370,0.737,0.548,0.455,0.181,0.632,0.628,0.446,0.355,0.442,0.529,0.000,0.613,0.523,0.693,0.344,-1.887,1.573,0.861,0.597,0.763,0.758,0.745
New Zealand,Inflation,Socio-economic indicators,% growth over previous period,-,0.167,0.417,0.332,0.414,0.988,0.000,0.489,0.110,0.497,0.396,0.887,0.098,0.098,0.585,0.678,0.481,0.766,-0.475,0.669,0.474,0.850,1.311,2.218,0.876
Belarus,Inflation,Socio-economic indicators,% growth over previous period,-,5.123,2.694,0.898,1.895,1.917,1.457,0.009,1.461,1.893,1.069,0.389,1.737,2.629,0.938,0.260,1.107,2.265,1.445,0.695,2.139,3.750,2.442,1.254,2.484
Bosnia and Herzegovina,Inflation,Socio-economic indicators,% growth over previous period,-,-0.097,-0.453,-0.650,0.785,1.428,-0.384,-0.675,0.906,0.929,0.241,-0.315,0.866,0.255,-0.170,-0.645,0.732,0.454,-2.126,-0.375,0.460,0.897,0.448,0.576,0.361
Bulgaria,Inflation,Socio-economic indicators,% growth over previous period,-,-0.472,-0.602,0.699,0.065,1.493,0.000,0.024,1.207,0.768,0.562,0.939,0.839,0.906,0.617,0.331,1.188,1.428,-1.373,-0.090,0.477,0.997,0.964,1.330,3.591
Croatia,Inflation,Socio-economic indicators,% growth over previous period,-,-1.204,0.508,-0.505,1.015,0.067,0.502,-0.566,1.340,-0.298,1.426,-0.588,0.723,-0.979,1.583,-0.422,0.750,-0.550,-0.065,-0.228,0.522,0.162,1.620,0.702,2.153
Czech Republic,Inflation,Socio-economic indicators,% growth over previous period,-,0.406,0.458,0.134,0.428,1.395,0.262,0.461,0.493,0.671,0.590,0.591,0.199,1.329,0.656,0.624,0.361,1.886,0.234,0.787,-0.287,1.456,0.953,1.961,1.629
Estonia,Inflation,Socio-economic indicators,% growth over previous period,-,0.033,0.878,0.346,0.024,1.708,1.021,0.933,0.107,1.022,1.220,1.175,0.261,-0.357,1.812,0.492,-0.217,-0.585,-0.852,0.708,-0.406,1.194,1.576,3.104,3.170
Georgia,Inflation,Socio-economic indicators,% growth over previous period,-,0.554,-1.326,-0.209,1.612,4.863,0.239,-0.803,2.318,1.526,-0.640,-0.295,1.305,2.361,0.972,0.579,2.900,1.730,1.163,-1.100,1.535,2.910,4.757,2.607,2.252
Hungary,Inflation,Socio-economic indicators,% growth over previous period,-,-0.420,1.091,-0.172,0.737,0.927,0.575,0.159,0.614,0.620,1.304,0.866,0.418,0.531,1.884,0.203,0.743,1.430,0.088,1.408,-0.130,1.760,2.071,1.213,1.860
Latvia,Inflation,Socio-economic indicators,% growth over previous period,-,-0.494,1.240,-0.446,1.164,1.194,1.180,-0.670,0.892,0.582,1.500,-0.127,0.888,0.629,1.895,-0.531,0.226,0.328,-0.450,-0.103,-0.390,0.846,1.964,1.344,2.811
Lithuania,Inflation,Socio-economic indicators,% growth over previous period,-,-0.347,1.129,-0.733,1.148,1.242,1.816,0.094,1.011,0.432,1.064,-0.175,1.114,0.133,1.570,-0.329,0.656,0.590,-0.140,-0.090,0.167,0.897,2.239,2.019,3.815
North Macedonia,Inflation,Socio-economic indicators,% growth over previous period,-,-0.304,0.418,-0.170,-0.082,0.317,1.169,0.132,0.516,-0.149,0.974,0.172,0.171,-0.130,0.986,-0.406,-0.379,0.430,0.822,0.666,0.237,0.231,1.634,1.413,1.237
Poland,Inflation,Socio-economic indicators,% growth over previous period,-,-0.654,0.466,-0.300,0.739,1.114,0.322,-0.188,1.127,0.451,0.528,-0.026,0.552,0.131,1.697,0.282,0.538,1.986,0.350,0.124,0.273,2.032,1.870,1.001,2.668
Romania,Inflation,Socio-economic indicators,% growth over previous period,-,-0.731,-0.054,-0.260,0.507,-0.040,0.504,0.473,2.105,1.516,1.157,0.031,0.895,1.591,1.435,-0.131,0.805,1.104,0.738,-0.010,0.310,2.010,1.289,1.776,1.692
Russia,Inflation,Socio-economic indicators,% growth over previous period,-,2.313,1.356,0.982,0.977,1.227,0.943,0.187,0.206,0.902,1.064,0.784,1.078,2.150,0.892,0.126,0.250,1.141,1.567,0.537,1.124,2.216,2.017,1.334,3.585
Serbia,Inflation,Socio-economic indicators,% growth over previous period,-,0.328,0.345,0.380,0.468,1.847,0.916,-0.297,0.368,0.593,1.161,0.240,0.034,0.957,0.999,-0.654,0.118,1.314,0.216,0.282,-0.215,1.095,2.034,1.463,1.442
Slovakia,Inflation,Socio-economic indicators,% growth over previous period,-,-0.409,0.328,-0.368,0.349,0.614,0.366,0.203,0.627,1.126,0.815,0.138,0.098,1.318,0.951,0.462,0.134,1.185,0.151,0.057,0.132,0.640,1.384,1.679,1.688
Slovenia,Inflation,Socio-economic indicators,% growth over previous period,-,-1.350,1.723,-0.149,0.383,-0.152,1.318,-0.351,0.513,-0.177,1.897,-0.338,0.494,-0.713,2.221,-0.003,0.060,-0.759,-0.220,0.859,-0.576,-0.592,2.194,1.153,1.363
Ukraine,Inflation,Socio-economic indicators,% growth over previous period,-,2.163,4.047,0.195,5.474,3.604,3.880,2.318,3.469,3.474,1.816,-0.064,4.301,2.573,2.088,-0.670,1.077,0.164,1.496,-0.334,2.450,3.621,3.124,0.918,2.385
Argentina,Inflation,Socio-economic indicators,% growth over previous period,-,12.409,12.700,6.066,4.772,5.196,6.412,4.571,5.295,6.847,7.872,11.491,14.601,10.151,11.117,10.018,13.163,8.843,6.204,6.758,10.388,12.212,12.203,9.337,9.910
Bolivia,Inflation,Socio-economic indicators,% growth over previous period,-,0.972,1.330,0.352,1.084,0.685,-0.264,1.611,0.744,0.729,-0.003,0.243,0.466,0.438,0.433,0.790,0.790,-0.698,0.578,0.397,-0.327,0.594,-0.195,0.385,0.000
Brazil,Inflation,Socio-economic indicators,% growth over previous period,-,3.017,1.844,1.338,0.681,0.946,0.547,0.370,0.926,0.923,1.078,1.405,0.650,0.889,1.307,0.300,0.836,1.338,-0.347,0.782,2.432,2.344,1.957,2.580,3.222
Chile,Inflation,Socio-economic indicators,% growth over previous period,-,0.835,0.936,0.601,0.333,0.667,0.466,0.032,0.649,0.767,0.646,0.595,0.442,0.146,1.017,0.585,0.975,1.072,0.271,0.337,1.178,1.136,0.897,1.591,2.861
Colombia,Inflation,Socio-economic indicators,% growth over previous period,-,3.108,2.058,0.782,0.011,2.183,1.307,0.208,0.339,1.504,1.081,0.192,0.450,1.373,1.276,0.638,0.498,1.268,0.419,-0.256,0.181,1.210,1.805,1.051,0.995
Costa Rica,Inflation,Socio-economic indicators,% growth over previous period,-,0.479,-0.402,0.845,-0.292,0.959,0.179,0.390,0.916,0.907,-0.045,0.387,0.853,0.339,0.674,0.865,-0.071,0.283,-0.470,0.281,0.437,0.368,0.392,0.542,1.720
Dominican Republic,Inflation,Socio-economic indicators,% growth over previous period,-,-0.270,0.080,0.647,0.703,1.481,0.194,0.762,1.454,1.241,0.856,0.257,-0.023,0.033,1.008,0.688,1.359,0.328,-0.721,3.735,1.892,2.160,1.697,1.869,2.187
Ecuador,Inflation,Socio-economic indicators,% growth over previous period,-,0.545,0.586,0.106,-0.079,0.324,0.430,-0.553,-0.365,0.342,-0.258,0.062,0.168,0.223,-0.061,-0.007,0.004,-0.052,0.700,-1.375,-0.417,0.209,0.492,0.519,0.520
El Salvador,Inflation,Socio-economic indicators,% growth over previous period,-,-0.211,-0.284,-0.284,-0.100,0.866,0.437,0.033,0.369,0.343,0.119,0.461,0.074,-0.228,0.403,-0.596,-0.062,-0.077,-0.006,-0.104,0.036,1.122,1.589,1.428,1.668
Guatemala,Inflation,Socio-economic indicators,% growth over previous period,-,1.571,0.834,1.197,0.878,0.963,1.031,1.814,0.968,0.459,0.640,1.395,0.730,1.417,1.076,-0.192,0.508,0.199,1.503,1.745,1.672,0.658,0.605,0.719,0.956
Honduras,Inflation,Socio-economic indicators,% growth over previous period,-,0.698,0.982,1.006,0.340,1.365,1.169,0.792,0.950,1.438,0.874,0.993,1.151,0.983,1.721,0.544,0.701,1.034,0.453,1.009,1.281,1.197,0.928,0.975,1.783
Mexico,Inflation,Socio-economic indicators,% growth over previous period,-,1.180,-0.334,0.578,1.794,2.881,0.728,0.943,1.900,1.637,0.022,1.275,1.807,0.945,0.129,0.399,1.440,1.391,-0.473,1.495,1.075,1.848,1.407,1.349,2.213
Panama,Inflation,Socio-economic indicators,% growth over previous period,-,-0.065,0.811,0.161,0.193,0.481,-0.032,-0.032,0.032,0.479,0.418,0.128,-0.369,-0.505,0.536,-0.170,-0.240,-0.281,-1.481,-0.032,-0.066,1.022,0.818,0.624,0.479
Paraguay,Inflation,Socio-economic indicators,% growth over previous period,-,3.528,-0.091,-0.409,0.890,1.946,0.866,0.308,1.492,1.589,0.396,0.460,1.276,0.452,0.997,0.064,0.859,0.631,-0.502,0.441,1.443,1.144,0.489,2.556,2.908
Peru,Inflation,Socio-economic indicators,% growth over previous period,-,1.104,0.655,0.553,0.978,1.213,0.376,0.393,-0.337,0.496,0.394,0.765,0.396,0.555,0.798,0.237,0.280,0.544,0.630,0.324,0.434,1.148,0.764,2.249,1.687
Uruguay,Inflation,Socio-economic indicators,% growth over previous period,-,3.663,2.471,1.448,0.422,2.832,0.974,1.160,1.199,3.316,1.423,2.153,0.902,2.884,1.605,2.099,1.668,3.090,3.503,1.351,1.327,2.339,1.722,1.849,1.773
Venezuela,Inflation,Socio-economic indicators,% growth over previous period,-,30.815,50.334,38.372,32.577,49.704,34.696,56.176,143.293,253.387,412.752,601.556,745.902,928.096,162.604,118.097,123.459,146.887,101.499,93.282,164.534,190.248,87.608,60.009,27.956
Algeria,Inflation,Socio-economic indicators,% growth over previous period,-,1.974,2.905,0.497,0.830,3.426,0.481,0.237,1.387,0.322,2.335,-0.194,0.865,0.153,1.296,-0.206,0.757,-0.023,1.776,-0.939,1.837,1.695,2.357,-2.293,0.827
Angola,Inflation,Socio-economic indicators,% growth over previous period,-,5.984,9.922,10.712,6.379,6.698,5.507,5.098,5.532,3.979,3.919,4.285,4.996,3.622,3.247,4.097,4.552,5.699,5.842,5.489,5.739,5.611,6.128,6.426,6.435
Bahrain,Inflation,Socio-economic indicators,% growth over previous period,-,1.791,0.578,0.131,-0.600,0.551,0.809,0.984,-0.103,1.108,0.700,0.085,-0.859,1.258,0.080,0.223,0.028,-0.874,-2.598,0.859,-0.308,-0.592,0.104,0.626,-0.097
Cameroon,Inflation,Socio-economic indicators,% growth over previous period,-,-0.212,0.425,0.242,-0.121,-0.121,0.544,0.391,0.090,-0.180,0.510,0.447,0.980,0.294,0.792,0.524,0.781,0.460,0.658,0.568,0.537,0.140,0.842,0.862,-
Côte d'Ivoire,Inflation,Socio-economic indicators,% growth over previous period,-,0.197,0.391,0.143,0.088,0.674,0.609,-0.634,-0.464,0.554,0.377,0.122,0.166,0.079,0.567,-0.133,0.487,1.420,0.674,-0.121,0.408,1.951,1.624,0.589,0.957
Egypt,Inflation,Socio-economic indicators,% growth over previous period,-,1.085,4.277,4.640,7.666,10.467,4.699,6.120,2.754,0.641,2.967,7.608,3.214,-0.539,1.492,2.635,0.953,0.657,1.065,1.027,2.374,-0.117,1.272,2.267,2.378
Ethiopia,Inflation,Socio-economic indicators,% growth over previous period,-,0.636,3.090,2.582,0.000,1.387,4.755,3.796,2.651,2.865,4.032,3.012,0.848,2.710,6.979,5.956,2.364,4.402,7.222,5.509,0.849,5.314,8.138,13.662,3.597
Ghana,Inflation,Socio-economic indicators,% growth over previous period,-,6.820,4.010,1.773,2.189,4.575,3.503,1.368,1.838,3.353,2.893,1.342,1.538,3.094,3.064,0.363,1.215,2.966,6.157,0.124,0.603,3.029,4.000,1.821,2.601
Iran,Inflation,Socio-economic indicators,% growth over previous period,-,3.313,0.718,2.803,1.616,3.379,1.644,3.019,1.524,3.313,1.092,5.381,6.727,7.404,7.254,3.592,4.482,4.766,6.285,12.239,15.396,7.301,6.480,8.841,9.885
Iraq,Inflation,Socio-economic indicators,% growth over previous period,-,0.201,-0.796,0.385,-0.288,0.257,-0.032,0.480,-0.191,-0.415,0.481,0.734,-0.190,-0.222,-0.668,0.160,0.415,0.764,-1.011,-0.032,1.468,3.460,0.912,1.597,1.710
Israel,Inflation,Socio-economic indicators,% growth over previous period,-,-0.975,0.476,0.473,-0.236,-0.236,0.439,-0.202,0.304,-0.370,1.012,0.334,0.100,-0.166,0.933,-0.396,0.066,-0.464,-0.300,0.000,0.067,0.167,1.099,0.856,0.359
Jordan,Inflation,Socio-economic indicators,% growth over previous period,-,-1.660,0.327,1.345,0.280,1.788,0.182,0.274,1.074,2.292,0.992,0.710,0.082,-0.823,0.903,0.362,0.276,0.332,-1.048,0.100,0.521,0.497,0.430,0.438,0.494
Kenya,Inflation,Socio-economic indicators,% growth over previous period,-,1.254,1.786,1.694,1.613,3.497,3.590,-1.303,-0.788,3.006,3.093,-0.624,0.078,1.817,4.609,-1.469,0.473,2.610,3.674,-2.409,1.396,3.122,3.860,-1.770,0.745
Kuwait,Inflation,Socio-economic indicators,% growth over previous period,-,0.986,0.643,1.477,-0.024,0.054,0.123,0.831,0.331,-0.479,-0.143,0.948,-0.084,-0.098,0.093,1.448,0.087,0.131,0.176,1.634,0.790,0.433,0.336,1.792,0.520
Lebanon,Inflation,Socio-economic indicators,% growth over previous period,-,-1.989,1.344,0.578,2.112,0.658,0.667,0.628,2.790,1.190,1.887,0.897,1.278,-0.619,1.478,-0.868,3.836,8.161,47.493,33.515,12.106,14.932,23.827,47.538,43.055
Morocco,Inflation,Socio-economic indicators,% growth over previous period,-,0.173,1.094,0.513,0.000,-0.340,0.142,0.397,1.046,0.504,0.640,-0.553,0.250,-0.527,1.088,-0.359,0.554,0.028,-0.220,0.357,0.226,-0.232,1.211,0.158,1.378
Nigeria,Inflation,Socio-economic indicators,% growth over previous period,-,4.073,6.361,4.296,2.601,3.595,5.112,3.841,2.344,2.279,2.823,3.332,2.445,2.263,2.839,3.135,3.090,2.612,3.058,3.883,4.645,4.726,3.588,3.064,3.456
Oman,Inflation,Socio-economic indicators,% growth over previous period,-,0.163,0.814,0.711,-0.064,0.835,0.064,0.286,0.222,0.000,0.380,0.473,0.126,-0.690,0.284,0.535,-0.313,-0.440,-0.662,0.095,-0.476,-0.064,1.946,0.845,-0.634
Qatar,Inflation,Socio-economic indicators,% growth over previous period,-,0.971,0.217,0.991,-0.215,-0.031,-0.209,0.240,0.307,0.368,-0.568,0.316,-0.370,-0.768,0.396,0.540,-0.782,-0.907,-2.069,0.247,-0.188,1.044,0.711,1.338,2.413
Saudi Arabia,Inflation,Socio-economic indicators,% growth over previous period,-,2.236,0.149,-0.369,-0.728,0.336,0.113,-0.487,-1.285,4.722,-0.452,-0.681,-1.267,-0.840,0.065,0.217,-0.066,0.928,-0.118,5.229,-0.425,0.619,0.253,0.001,0.185
South Africa,Inflation,Socio-economic indicators,% growth over previous period,-,2.289,2.273,1.231,0.946,1.874,1.051,0.650,0.872,1.312,1.422,1.215,0.800,0.672,1.668,0.955,0.414,1.236,-0.262,1.632,0.545,1.141,1.523,1.639,1.066
Tanzania,Inflation,Socio-economic indicators,% growth over previous period,-,1.951,1.593,0.293,0.873,2.815,1.888,-0.490,0.235,2.328,1.523,-0.790,0.056,2.221,1.987,-0.723,0.227,2.115,1.575,-0.671,0.042,2.373,1.655,-0.204,0.252
Tunisia,Inflation,Socio-economic indicators,% growth over previous period,-,0.207,1.111,1.047,1.593,0.821,1.333,1.729,2.155,1.781,1.842,1.447,2.184,1.614,1.524,1.226,1.817,1.210,1.731,0.609,1.386,1.046,2.085,1.601,1.584
Uganda,Inflation,Socio-economic indicators,% growth over previous period,-,0.356,0.897,1.065,2.431,1.821,1.339,-0.271,1.088,0.194,0.856,1.342,0.322,0.343,1.368,0.128,1.120,0.606,1.491,1.317,0.475,0.507,-0.317,1.375,0.877
United Arab Emirates,Inflation,Socio-economic indicators,% growth over previous period,-,-0.292,0.714,0.862,0.612,0.453,0.080,-0.103,1.745,2.426,-0.649,0.037,-0.687,-0.917,0.005,-0.556,-0.095,-0.771,-0.905,-0.613,0.047,-0.187,0.276,0.436,1.804
Canada,Inflation,Socio-economic indicators,% growth over previous period,-,0.263,1.152,0.052,-0.078,0.777,0.565,0.102,0.332,1.043,0.806,0.475,-0.298,0.623,1.338,0.269,-0.146,0.342,-0.438,0.513,0.365,0.994,1.440,1.207,1.005
USA,Inflation,Socio-economic indicators,% growth over previous period,-,0.065,1.172,0.333,0.223,0.791,0.544,0.397,0.371,0.886,1.033,0.327,-0.057,0.335,1.199,0.274,0.213,0.419,-0.540,1.131,0.230,1.073,2.340,1.601,1.518
Austria,Inflation,Socio-economic indicators,% growth over previous period,-,-0.266,0.799,-0.132,0.926,0.426,0.718,0.065,0.971,0.032,0.865,0.254,0.951,-0.345,0.819,-0.031,0.875,0.199,0.000,0.334,0.667,0.331,1.155,0.946,1.584
Belgium,Inflation,Socio-economic indicators,% growth over previous period,-,0.401,1.050,0.191,0.220,1.151,0.341,0.175,0.390,0.613,0.618,0.614,0.750,0.163,0.359,-0.113,0.132,0.661,-0.131,0.155,-0.128,0.639,0.768,1.320,2.352
Denmark,Inflation,Socio-economic indicators,% growth over previous period,-,-0.033,0.567,-0.166,0.033,0.532,0.430,0.526,-0.229,-0.131,0.821,0.424,-0.324,0.260,0.390,0.097,-0.065,0.194,-0.129,0.517,-0.129,0.451,0.801,0.763,1.104
Finland,Inflation,Socio-economic indicators,% growth over previous period,-,-0.346,0.585,0.043,0.435,-0.099,0.390,-0.046,0.356,0.033,0.634,0.268,0.384,-0.133,0.695,0.000,0.216,-0.100,-0.290,0.494,0.106,0.735,0.736,0.608,1.318
France,Inflation,Socio-economic indicators,% growth over previous period,-,-0.480,0.935,-0.017,0.066,0.246,0.589,-0.033,0.336,0.463,1.120,0.313,-0.010,-0.203,1.023,0.195,0.070,-0.096,0.128,0.245,-0.200,0.570,0.763,0.584,0.774
Germany,Inflation,Socio-economic indicators,% growth over previous period,-,-0.500,1.039,0.564,-0.066,0.099,0.825,0.687,-0.195,0.000,1.237,0.836,-0.096,-0.606,1.574,0.601,-0.314,-0.221,0.695,-0.251,-0.472,1.391,1.621,1.319,0.606
Greece,Inflation,Socio-economic indicators,% growth over previous period,-,-1.970,1.465,-0.917,1.011,-0.145,1.344,-1.228,0.881,-1.089,2.009,-0.801,1.016,-1.517,1.658,-1.185,1.177,-1.254,-0.108,-1.704,1.021,-0.824,1.836,-0.209,3.634
Ireland,Inflation,Socio-economic indicators,% growth over previous period,-,-0.566,1.171,0.165,-0.892,0.067,0.899,0.066,-0.528,-0.133,0.730,0.725,-0.589,-0.066,1.186,0.163,-0.260,-0.065,-0.163,-0.359,-0.590,0.923,1.470,1.095,1.720
Italy,Inflation,Socio-economic indicators,% growth over previous period,-,-0.436,0.201,0.434,-0.100,0.799,0.364,0.066,-0.296,0.594,0.558,0.620,-0.357,0.130,0.455,0.129,-0.420,0.130,0.032,-0.227,-0.162,0.943,0.644,0.736,1.176
Netherlands,Inflation,Socio-economic indicators,% growth over previous period,-,-0.557,0.979,0.322,-0.060,0.281,0.700,0.462,-0.088,0.150,0.988,0.969,-0.086,0.650,1.104,0.978,-0.087,-0.384,0.804,0.829,-0.237,0.349,1.055,0.986,2.300
Norway,Inflation,Socio-economic indicators,% growth over previous period,-,0.956,1.241,0.871,0.448,0.000,0.764,0.284,0.284,0.660,1.155,1.142,0.366,0.304,0.606,0.362,0.330,-0.150,0.599,0.775,0.059,1.507,0.466,1.419,1.171
Portugal,Inflation,Socio-economic indicators,% growth over previous period,-,-0.934,1.723,-0.398,0.406,-0.307,1.751,-0.695,0.730,-0.998,1.971,-0.289,0.164,-1.070,1.741,-0.980,0.587,-0.915,1.052,-0.713,0.415,-0.333,1.409,0.003,1.298
Spain,Inflation,Socio-economic indicators,% growth over previous period,-,-2.001,1.536,-0.154,1.634,-0.284,0.799,-0.492,1.430,-0.771,1.646,-0.071,0.912,-1.330,1.426,-0.670,1.041,-1.172,0.155,-0.515,0.822,0.134,2.114,0.297,3.177
Sweden,Inflation,Socio-economic indicators,% growth over previous period,-,0.076,0.575,0.172,0.606,0.118,0.872,0.543,0.223,0.050,1.073,0.765,0.191,-0.163,1.227,0.260,0.392,-0.879,0.345,0.723,0.138,0.329,0.599,0.902,1.452
Switzerland,Inflation,Socio-economic indicators,% growth over previous period,-,-0.465,0.733,-0.350,-0.100,0.240,0.583,-0.241,0.180,0.199,0.844,-0.092,-0.045,-0.083,0.869,-0.477,-0.380,-0.132,-0.237,-0.116,-0.206,0.128,0.691,0.222,0.388
